host_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,security_deposit,cleaning_fee,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month,host_sinceyear,property_type_Hotel,room_type_Private room,price
2.0,43.76938,11.27578,4,1.0,1.0,500.0,40.0,2,10.0,0,16,37,312,33,1,91.0,0.4,2011.0,0,0,110.0
2.0,43.77813,11.25957,4,1.0,2.0,150.0,35.0,1,0.0,19,49,79,354,67,6,95.0,0.74,2011.0,0,0,120.0
2.0,43.77161,11.25959,4,1.0,1.0,150.0,40.0,2,10.0,2,23,53,328,72,5,93.0,0.75,2011.0,0,0,110.0
5.0,43.78253,11.25514,4,2.0,1.0,89.0,40.0,2,35.0,0,0,0,52,28,0,93.0,0.32,2010.0,0,0,90.0
1.0,43.7676,11.24234,4,1.0,1.0,300.0,20.0,2,0.0,30,60,90,363,56,1,83.0,0.57,2011.0,0,0,70.0
2.0,43.77669,11.25821,2,1.0,1.0,150.0,35.0,1,0.0,19,49,79,354,89,11,95.0,1.0,2011.0,0,0,95.0
3.0,43.76458,11.25444,2,1.0,1.0,0.0,35.0,1,0.0,14,34,57,329,408,83,97.0,4.14,2011.0,0,0,79.0
2.0,43.77269,11.2623,3,1.0,1.0,0.0,30.0,2,20.0,9,39,69,344,58,32,97.0,1.45,2010.0,0,0,80.0
1.0,43.78558,11.25223,4,1.0,1.0,100.0,40.0,2,10.0,14,44,74,345,42,11,96.0,0.47,2011.0,0,0,70.0
2.0,43.77633,11.25177,5,2.0,2.0,400.0,90.0,1,20.0,10,39,69,344,190,22,94.0,2.49,2011.0,0,0,200.0
6.0,43.77929,11.24602,2,2.0,1.0,0.0,35.0,1,0.0,5,31,58,182,8,0,100.0,0.09,2011.0,0,1,74.0
1.0,43.77952,11.25317,3,1.0,1.0,0.0,30.0,2,20.0,3,22,52,138,169,30,94.0,1.73,2011.0,0,0,90.0
6.0,43.77342,11.24549,4,1.0,1.0,150.0,40.0,2,15.0,10,40,70,345,271,28,91.0,2.9,2011.0,0,0,70.0
2.0,43.76731,11.25197,2,1.0,1.0,100.0,30.0,1,8.0,8,34,64,337,69,24,96.0,0.7,2011.0,0,0,61.0
3.0,43.76448,11.25766,8,2.0,3.0,200.0,60.0,2,25.0,0,0,0,6,2,0,100.0,0.04,2011.0,0,0,58.0
